Epoch	Dropout 0.7
1	298.30
2	150.44
3	107.14
4	82.24
5	70.47
6	63.73
7	57.84
8	53.51
9	49.34
10	47.10
11	45.75
12	43.43
13	41.43
14	40.55
15	38.79
16	37.46
17	36.35
18	35.97
19	34.62
20	33.60
21	32.84
22	32.29
23	31.36
24	31.10
25	30.32
26	29.73
27	28.92
28	28.56
29	28.22
30	27.63
31	27.41
32	26.87
33	26.40
34	26.37
35	25.65
36	25.28
37	24.76
38	24.55
39	24.11
40	24.35
