Epoch	Dropout 0.1
1	307.96
2	157.92
3	90.13
4	65.84
5	48.52
6	38.85
7	32.47
8	27.22
9	23.21
10	19.51
11	16.73
12	14.53
13	12.04
14	10.61
15	9.22
16	8.16
17	7.21
18	6.47
19	5.79
20	5.33
21	4.95
22	4.49
23	4.22
24	3.93
25	3.64
26	3.50
27	3.22
28	3.11
29	2.96
30	2.83
31	2.68
32	2.61
33	2.50
34	2.38
35	2.32
36	2.26
37	2.20
38	2.20
39	2.10
40	2.06
