Epoch	Dropout 0.3
1	391.40
2	148.12
3	88.44
4	65.13
5	51.95
6	42.77
7	38.08
8	32.17
9	28.01
10	24.70
11	21.23
12	19.10
13	17.29
14	15.72
15	13.93
16	12.71
17	11.83
18	10.62
19	9.70
20	9.07
21	8.43
22	7.75
23	7.26
24	6.84
25	6.40
26	6.16
27	5.83
28	5.59
29	5.31
30	5.05
31	4.92
32	4.63
33	4.47
34	4.28
35	4.16
36	4.07
37	4.00
38	3.82
39	3.75
40	3.68
