Epoch	Dropout 0.5
1	331.32
2	153.22
3	98.00
4	71.31
5	56.57
6	48.23
7	42.59
8	38.30
9	35.11
10	31.71
11	29.29
12	27.61
13	25.34
14	23.65
15	22.50
16	20.99
17	19.96
18	18.99
19	17.93
20	17.06
21	16.32
22	15.48
23	14.80
24	14.19
25	13.61
26	13.06
27	12.48
28	12.22
29	11.68
30	11.36
31	10.91
32	10.48
33	10.35
34	9.99
35	9.75
36	9.48
37	9.27
38	8.99
39	8.79
40	8.63
